PC,feature,loading,type
PC4,chroma_cens_kurtosis_6,0.00021544125878014307,weak
PC4,chroma_cens_kew_7,5.7911634667024374e-05,weak
PC2,chroma_cens_min_7,1.1636349849004194e-05,weak
PC3,chroma_cens_max_7,-1.462318995604657e-05,weak
PC1,chroma_cens_std_7,5.9545493087339024e-06,weak
PC4,chroma_cens_mean_7,-8.983514498599483e-06,weak
PC4,chroma_cens_median_7,-8.086078617186884e-06,weak
PC2,chroma_cens_kurtosis_7,8.64088657022309e-05,weak
PC1,chroma_cens_kew_8,4.7601612854127724e-05,weak
PC1,chroma_cens_min_8,-9.813984749002842e-06,weak
PC4,chroma_cens_max_8,-1.7203079163534958e-05,weak
PC4,chroma_cens_std_8,-6.475828854363225e-06,weak
PC4,chroma_cens_mean_8,-9.5757761218928e-06,weak
PC4,chroma_cens_median_8,-8.057227397379648e-06,weak
PC4,chroma_cens_kurtosis_8,0.0002995510790198871,weak
PC4,chroma_cens_kew_9,-4.429658627929672e-05,weak
PC4,chroma_cens_min_9,8.908145544853969e-06,weak
PC3,chroma_cens_max_9,-2.463259186150391e-05,weak
PC1,chroma_cens_std_9,5.014099632498026e-06,weak
PC3,chroma_cens_mean_9,-1.124922684335591e-05,weak
PC4,chroma_cens_median_9,1.0447854319610633e-05,weak
PC1,chroma_cens_kurtosis_9,-2.4297406447548284e-05,weak
PC4,chroma_cens_kew_10,-6.567768020996839e-05,weak
PC1,chroma_cens_min_10,-7.051143257545049e-06,weak
PC4,chroma_cens_max_10,-9.87509175843372e-06,weak
PC1,chroma_cens_std_10,3.561119850350472e-06,weak
PC1,chroma_cens_mean_10,-7.022318728038231e-06,weak
PC1,chroma_cens_median_10,-8.250322079652134e-06,weak
PC4,chroma_cens_kurtosis_10,-0.00010478041010187254,weak
PC2,chroma_cens_kew_11,-3.661497049638199e-05,weak
PC1,chroma_cens_min_11,-7.3533006022419175e-06,weak
PC3,chroma_cens_max_11,-1.9757264521664542e-05,weak
PC1,chroma_cens_std_11,3.3891986900395084e-06,weak
PC3,chroma_cens_mean_11,-1.4165189819376782e-05,weak
PC4,chroma_cens_median_11,1.6137587941577607e-05,weak
PC4,chroma_cens_kurtosis_11,0.00010991616782775322,weak
PC4,mfcc_kew_0,-0.00017529285450224318,weak
PC4,mfcc_min_0,-0.05208253437419648,weak
PC4,mfcc_max_0,-0.009225752875987415,weak
PC4,mfcc_std_0,0.009060689751895484,weak
PC4,mfcc_mean_0,-0.023757387660934364,weak
PC4,mfcc_median_0,-0.021939316570089743,weak
PC4,mfcc_kurtosis_0,0.00023327192758676026,weak
PC3,mfcc_kew_1,0.00030457006769429114,weak
PC4,mfcc_min_1,-0.02377157627688115,weak
PC1,mfcc_max_1,0.013493695556690178,weak
PC2,mfcc_std_1,-0.004608877376504547,weak
PC1,mfcc_mean_1,0.008530519943965108,weak
PC1,mfcc_median_1,0.00875732777420139,weak
PC4,mfcc_kurtosis_1,0.0006791190963732344,weak
PC3,mfcc_kew_2,-0.0001562637324907089,weak
PC4,mfcc_min_2,-0.009538866849337012,weak
PC2,mfcc_max_2,-0.013180963030568038,weak
PC2,mfcc_std_2,-0.0031697550761489676,weak
PC3,mfcc_mean_2,0.006463562618504241,weak
PC3,mfcc_median_2,0.006854514594285115,weak
PC3,mfcc_kurtosis_2,-0.0002814228385470667,weak
PC3,mfcc_kew_3,6.07696351380958e-05,weak
PC2,mfcc_min_3,0.0073583412984457005,weak
PC2,mfcc_max_3,-0.003767442726077302,weak
PC2,mfcc_std_3,-0.001973898048595697,weak
PC2,mfcc_mean_3,0.0018063628738527093,weak
PC2,mfcc_median_3,0.001741761834157746,weak
PC4,mfcc_kurtosis_3,0.0001355424233652232,weak
PC4,mfcc_kew_4,-0.00011326105669468632,weak
PC4,mfcc_min_4,-0.006448475956971686,weak
